	14517X1	14517X2	14517X3	14517X10	14517X11	14517X12
R0010W	0	0	0	0	0	0
R0020C	0	0	0	0	0	0
R0030W	0	0	0	0	0	0
R0040C	0	0	0	0	0	0
YAL068C	1	0	0	1	0	1
YAL067W-A	0	0	0	0	0	0
YAL067C	9	13	12	18	16	20
YAL065C	1	1	0	0	0	0
YAL064W-B	6	5	4	5	4	7
YAL064C-A	0	0	0	0	0	1
YAL064W	2	2	0	3	3	1
YAL063C-A	6	3	5	11	5	9
YAL063C	11	13	10	12	13	10
YAL062W	120	99	91	366	352	306
YAL061W	157	126	58	191	159	159
YAL060W	1570	1121	612	1963	1680	1501
YAL059W	716	558	664	393	413	425
YAL058W	461	365	388	390	439	395
YAL056W	1082	886	822	1137	937	926
YAL055W	82	63	55	60	83	51
YAL054C	156	139	80	263	208	157
YAL053W	3584	2717	2400	6507	5497	5147
YAL051W	616	486	503	798	788	760
YAL049C	615	448	442	706	678	646
YAL048C	357	297	231	309	328	253
YAL047C	273	206	177	229	228	214
YAL046C	237	199	212	94	145	136
YAL044W-A	381	316	321	335	396	368
YAL044C	1667	1436	1316	1303	1620	1478
YAL043C	965	782	740	1053	1102	1026
YAL042W	3413	2675	2547	2720	2828	2639
YAL041W	1065	828	812	1242	1126	1125
YAL040C	255	170	171	227	257	299
YAL039C	497	415	322	662	704	633
YAL038W	171031	141906	132622	103312	109650	102627
YAL037C-A	2	2	1	4	1	1
YAL037W	41	36	63	70	78	66
YAL036C	1144	1021	1099	1172	1284	1273
YAL035W	7053	6021	6018	4910	5019	4656
YAL034W-A	95	75	66	102	112	105
YAL034C	644	540	323	1179	991	869
YAL033W	400	328	355	296	320	295
YAL032C	393	298	252	437	428	392
YAL031C	712	571	391	685	564	496
YAL030W	410	305	315	449	435	418
YAL029C	1965	1526	1684	2354	2204	2140
YAL028W	387	301	163	482	402	370
YAL027W	191	149	142	213	204	194
YAL026C	2120	1682	1780	2204	2031	2054
HRA1	0	0	1	3	4	1
YAL025C	262	256	279	149	234	247
YAL024C	429	360	473	760	744	796
YAL023C	5998	4926	5125	3970	4112	3981
YAL022C	871	692	825	745	734	717
YAL021C	1494	1215	1045	1108	1201	1246
YAL020C	182	161	159	232	205	195
YAL019W	1856	1488	1609	1922	2139	2068
YAL018C	3	0	0	6	6	3
YAL017W	1794	1268	825	2058	1587	1527
YAL016W	2992	2257	2014	3188	2746	2475
YAL015C	378	289	238	438	401	367
YAL014C	522	483	411	594	583	579
YAL013W	167	149	132	192	247	207
