"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDL171C"	3846.7698856811	-3.20404544053867	0.078283496673607	-40.928747139356	0	0
"YGL009C"	7456.35726880312	-4.15426183911526	0.106980958947041	-38.8317872638602	0	0
"YOR382W"	3104.17963214762	3.87442593495942	0.0969595781677414	39.9591872012543	0	0
"YOR383C"	5644.25013864664	3.64857971264043	0.0895955300979475	40.7227872713262	0	0
"YER011W"	1907.82301790886	3.41408543673498	0.0919209598863669	37.1415337802769	6.00553478876083e-302	6.97723031758233e-299
"YPL019C"	4150.51971519953	-2.63691270859067	0.0728376617967402	-36.2025996379345	5.54073737436998e-287	5.3643572346192e-284
"YBL075C"	1362.86927505373	3.39959571917627	0.101544720059974	33.4788033998065	9.80801848418871e-246	8.13925419637889e-243
"YOR237W"	985.398728659266	5.24466346334868	0.159115834574824	32.9612918623909	2.91487791919889e-238	2.1165657290783e-235
"YPL272C"	3508.37382564304	5.41627569510562	0.1826048314266	29.6611850452749	2.43320600567994e-193	1.57049929855498e-190
"YDR380W"	4249.65023668035	2.46234422228398	0.0875279634830164	28.1320862990462	3.96975619042304e-174	2.30603137101674e-171
"YGL039W"	2847.10783822696	2.22120260522305	0.0798454914656785	27.8187605142092	2.57270407457701e-170	1.35862163356526e-167
"YLR340W"	26510.8822455932	-1.77344935437331	0.0640608468528883	-27.6838262604602	1.09333988406962e-168	5.29267615546701e-166
"YBR072W"	4668.38977899033	4.25694698230035	0.162112514785766	26.2592125470755	5.61004699319409e-152	2.50682792180496e-149
"YHL047C"	2116.10689604733	2.88609039584087	0.11004558279523	26.2263175179983	1.33173206237154e-151	5.52573682165449e-149
"YBL003C"	1279.98030749825	-2.51886448096146	0.0966267044364443	-26.0679953399242	8.41156494147514e-150	3.25751871633527e-147
"YGL147C"	8679.65657946728	-2.31976692242154	0.0918485133626458	-25.2564449602183	9.62205442781581e-141	3.49340713569888e-138
"YHL040C"	1299.70332163741	2.50120107985118	0.10032370701928	24.9313064096656	3.40627743205414e-137	1.16394503545897e-134
"YLR333C"	3911.28774165821	-1.93983343287381	0.0813713240272672	-23.8392757653025	1.3082944942114e-125	4.22215706493002e-123
"YJR150C"	386.866424293156	4.42022331825523	0.186407633854194	23.7126732787815	2.66857046434535e-124	8.15880306704323e-122
"YNL096C"	4167.06617235329	-1.67823147776178	0.0709057740217736	-23.6684741252022	7.61793490922617e-124	2.21262919438474e-121
"YKR094C"	5159.97799239118	-1.88914492582823	0.0811983638129438	-23.2658004067698	9.84399945098507e-120	2.72303775289392e-117
"YDR534C"	402.261941229027	4.0074762351228	0.174511105714573	22.9640183569598	1.06736600145405e-116	2.81833141020298e-114
"YJL105W"	360.246857460868	4.90552596390641	0.216406760265426	22.6680809688649	9.2541054717414e-114	2.23987911188941e-111
"YOR063W"	43385.0744545151	-1.35939104259407	0.0599688670435054	-22.6682795525864	9.21246104997798e-114	2.23987911188941e-111
"YDL020C"	2115.58031172951	2.17443901078218	0.0960503111844288	22.63854207205	1.80929080551068e-113	4.20406811568462e-111
"YLR167W"	30874.8727849747	-1.74274294805097	0.0775954766084316	-22.4593368611593	1.03724554739974e-111	2.31744591724812e-109
"YJR016C"	9049.62917244106	-2.99944712615176	0.133765808588338	-22.4231226036431	2.34167983973986e-111	5.03808081075882e-109
"YER131W"	6995.76623180112	-1.98967234133598	0.0892662260681758	-22.289195241842	4.70371089870204e-110	9.75852021805719e-108
"YGR032W"	6422.40136193784	2.23678886672709	0.100455402808512	22.2664864625634	7.80894286222594e-110	1.5642120374714e-107
"YLR441C"	16708.6640727021	-1.59481774264574	0.0717102139882269	-22.239757127312	1.41721262835864e-109	2.74419605271177e-107
"YGR061C"	4995.63837484641	-1.44065574774852	0.0656750595336186	-21.9361163580074	1.17518568157604e-106	2.20214633041135e-104
"YHR208W"	3825.4464749986	-1.87607051806864	0.086154234448893	-21.7757203702103	3.94224790949502e-105	7.15641190820518e-103
"YER055C"	2380.84393727481	-2.09344089729225	0.0966150985927543	-21.6678441339318	4.12627707757605e-104	7.26349804352705e-102
"YHL015W"	17134.7534664687	-1.61031862596466	0.0745213495532889	-21.6088226477051	1.4838397861867e-103	2.53518391704663e-101
"YMR116C"	17101.3924111492	-1.85958444365989	0.0864655003832927	-21.506663760882	1.34861995371711e-102	2.23832380318362e-100
"YNL178W"	21166.0447310809	-1.69090501716762	0.0789673627198402	-21.4127072112893	1.01728183329522e-101	1.64149726933665e-99
"YJL012C"	3987.76285090316	-1.58814482246141	0.0757409802261228	-20.9681049508475	1.28272393943181e-97	2.01387658490793e-95
"YER145C"	4305.24069611383	2.33958652004974	0.111589126316799	20.9660797361896	1.33849374771279e-97	2.04613425801674e-95
"YGR131W"	420.783640681727	3.01647104855345	0.144113935262401	20.9311545275694	2.78664791233856e-97	4.150676339173e-95
"YER003C"	2181.97869347758	-1.60523590490886	0.0770183222220747	-20.8422601089689	1.79176785645836e-96	2.60209486954166e-94
"YOR369C"	11324.917277527	-1.85660393823146	0.0902168705527597	-20.5793431633799	4.20338272974549e-94	5.9554756773394e-92
"YKR053C"	1008.69630999939	3.54993248210192	0.173497971761926	20.4609451398841	4.79988425076511e-93	6.63869705064155e-91
"YDL229W"	25440.5483524543	-1.47818854579843	0.0726645343232151	-20.3426411462762	5.39456250836036e-92	7.28767758396868e-90
"YMR242C"	8364.58201802033	-1.73302818184588	0.085249785427964	-20.3288274937687	7.14904159003048e-92	9.43835968101979e-90
"YML063W"	20033.8277238451	-1.52753231663896	0.0751923168377842	-20.315005320748	9.47397205890405e-92	1.2229845264483e-89
"YMR317W"	575.497755870836	4.0147819689621	0.198665175028394	20.2087858044989	8.1938921313361e-91	1.0347460737159e-88
"YBR031W"	4395.89057464224	-1.54821287836451	0.0768653759854457	-20.1418760855038	3.17094598951622e-90	3.91915430917015e-88
"YDR262W"	1579.33636485563	1.75316535459493	0.0872911250659436	20.0841191274658	1.01609619942668e-89	1.2296880880145e-87
"YJL153C"	383.857718868947	3.01647510617669	0.150328396053247	20.0659036174925	1.46601454249238e-89	1.73797519945679e-87
"YHR215W"	387.349477078114	-2.86127056706433	0.143342033685673	-19.9611411495574	1.19941891961789e-88	1.39348490081207e-86
"YMR012W"	6876.1461204071	-1.71705762276434	0.0860829008321707	-19.946558563494	1.60567323333128e-88	1.82889329655322e-86
"YGL255W"	1083.21409507056	-2.01911279647318	0.102243935935285	-19.7479955950755	8.34653723550072e-87	9.32404515404302e-85
"YHR174W"	104764.49174811	-1.32291648462741	0.0677523405214521	-19.5257680317116	6.63124106189494e-85	7.26809043934863e-83
"YPL079W"	5638.93958569778	-2.03417783914272	0.104315611948812	-19.5002243781199	1.09301766312301e-84	1.17580363057067e-82
