"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGL011C",1639.62191449981,-0.510760035797677,0.105781806329134,-4.82842989283504,1.37613764346912e-06,0.00422820114839364
"YHR018C",969.263421661127,-1.57411973881104,0.336023655014882,-4.68455037411377,2.80575159307095e-06,0.00422820114839364
"YKL117W",1749.8379712903,-0.439652226603421,0.0937670945158419,-4.68876879329072,2.7485371608386e-06,0.00422820114839364
"YLR413W",3203.47629114922,0.847063152331233,0.18256060007291,4.6399012272798,3.48575742919655e-06,0.00422820114839364
"YPL081W",2580.66171038219,1.18848441623259,0.257040546522242,4.62372350320907,3.76912207915283e-06,0.00422820114839364
"YPL004C",3508.71454689821,-0.69197225279003,0.151683953249634,-4.56193445625205,5.0684470746112e-06,0.00473815327358237
"YFR004W",1176.90326040623,-0.495373192131445,0.109565821937976,-4.52123831473533,6.14789272166016e-06,0.00492621861082741
"YGL117W",254.056535269978,-1.11703126551539,0.253988764892153,-4.39795542133409,1.09275415871179e-05,0.00709510466259148
"YGL048C",3059.20738726501,-0.497500644842708,0.113350347629737,-4.38905266058657,1.13845501806602e-05,0.00709510466259148
"YGL122C",1678.52670771001,-0.837576592092862,0.194744098968205,-4.30090871318063,1.70099127206385e-05,0.00867350913182374
"YKR004C",103.626188533818,1.08858635100817,0.252751178050615,4.30694867341103,1.65521998025454e-05,0.00867350913182374
"YNL279W",99.0327265273779,-1.8038651879113,0.424995844726706,-4.24443017571448,2.19149591161782e-05,0.0102434171402203
"YPR172W",571.332672244172,-0.52043351979173,0.123917317449618,-4.19984494905907,2.67097823408253e-05,0.0115242437807453
"YFR003C",532.428691151507,-0.714707921818358,0.171219811940646,-4.17421274861645,2.99018233245366e-05,0.0119799519305233
"YDL126C",13406.3451303557,-0.422002055498383,0.10205151266804,-4.13518667646896,3.5466621258881e-05,0.0126679044302909
"YHR027C",5079.54803936311,-0.589465319418009,0.142696883322537,-4.13089133899051,3.61359370448663e-05,0.0126679044302909
"YDR394W",2606.56711011926,-0.399378724987682,0.097931999431873,-4.07812285365941,4.54007759038272e-05,0.0139626436375204
"YEL072W",84.6102304377394,0.899845987522832,0.221168666731454,4.06859615704712,4.72972417744496e-05,0.0139626436375204
"YNL111C",390.919557155939,0.800299095993663,0.196644537701596,4.06977536903721,4.70584886346995e-05,0.0139626436375204
"YLR251W",420.525071359432,-0.589970308652158,0.145676208398865,-4.04987413618568,5.1245187542617e-05,0.0143717128463269
"YDL007W",1989.3148968911,-0.586973542344356,0.146403249402504,-4.00929313208479,6.0900778538292e-05,0.0154107848876924
"YDR179C",42.4962129491276,1.49286300312303,0.371740425628607,4.01587478843235,5.92256957311672e-05,0.0154107848876924
"YGL062W",3538.70836832714,-0.933446956405189,0.233535266320536,-3.99702781987539,6.41427653019372e-05,0.0154107848876924
"YGR049W",312.638688151518,1.36636462545306,0.343373332766629,3.97923919846652,6.91361551141821e-05,0.0154107848876924
"YJL170C",91.5305390294278,-1.91013271199216,0.480965577009237,-3.97145409837818,7.1435266015333e-05,0.0154107848876924
"YJR109C",2439.18751852901,-1.29235037148419,0.324738050226556,-3.97967029297173,6.9010911426581e-05,0.0154107848876924
"YBR132C",624.59409767674,-0.559501949290311,0.141252948759466,-3.96099305681091,7.46387033173875e-05,0.0155054995150825
"YGR156W",245.707594602021,0.632012572176826,0.161984772357633,3.90167892313641,9.55278129240542e-05,0.0178605167563673
"YMR122W-A",7283.46931580655,-0.384876660265712,0.0984881032383438,-3.90784924890167,9.31213767705226e-05,0.0178605167563673
"YMR261C",2316.15775219259,-0.438622726895094,0.112101486195803,-3.91272891894557,9.12589593209557e-05,0.0178605167563673
"YNL024C",94.9768160180496,0.644763679706484,0.167194081927442,3.85637860068692,0.000115079208518092,0.020821912276709
"YDL097C",1931.95596590567,-0.392752087236898,0.102332170905455,-3.83801187604788,0.000124034484730954,0.0217409195267475
"YIL075C",4610.53585564037,-0.331826451370508,0.0870539028328253,-3.81173549459045,0.000137994499101345,0.0234548831957408
"YPR191W",1279.70833241643,-0.619465838810314,0.16291492880656,-3.80238842043659,0.000143307814677017,0.0236415744859821
"YGL059W",362.858405883559,-0.589413354680216,0.155306471654891,-3.79516286990254,0.000147546564493094,0.0236453908640504
"YDL091C",323.049756361763,-0.474085971140913,0.125217762397111,-3.78609202133331,0.00015303502259651,0.0237910717127742
"YLR456W",89.0873071275477,0.778650729161749,0.206056529127491,3.77882095005096,0.000157572668452281,0.0237910717127742
"YPL016W",558.102920589969,0.537922872408529,0.142564885421522,3.77317928477304,0.000161180375304942,0.0237910717127742
"YJL171C",3317.64240507858,-0.667978584796368,0.177538563135379,-3.76244221536824,0.000168262192740837,0.0241700469062928
"YLR227C",182.612626968105,0.691636040823762,0.184121406885725,3.75641296969356,0.000172366175120648,0.0241700469062928
"YNL173C",554.707028941494,-1.35742744409876,0.362596803072848,-3.74362772256998,0.000181382335207752,0.0248139882482996
"YOR044W",251.450381416111,0.858140769113901,0.230599616239387,3.72134517441287,0.000198164348326905,0.0264643768991811
"YLR364W",95.222942257547,0.816890474863948,0.220213422724199,3.70953988525505,0.000207636246685213,0.027084458317613
"YCR030C",629.56282307044,-0.372883600584628,0.101294843247178,-3.68117061669884,0.000232165576026922,0.0295958344530683
"YPL144W",121.179607185077,0.642068394301582,0.174920719769799,3.67062515605106,0.000241957958292843,0.0301587152903235
"YBR067C",1832.84373234046,-1.05266843327848,0.287939345543768,-3.65586867362824,0.000256312553256079,0.03101688452036
"YLR318W",138.962334736687,0.696122540774998,0.190598431086881,3.65229942767831,0.000259902580220524,0.03101688452036
"YEL061C",562.224334218586,0.447234436625308,0.123148514423186,3.63166733045951,0.000281595977707026,0.032642227234069
"YPR046W",98.3227392410092,0.628758158792023,0.173287043916138,3.62841990135345,0.000285161193522799,0.032642227234069
"YFR010W",2061.10743323434,-0.428443833249627,0.118611861107935,-3.61214999282197,0.000303668825760266,0.0340655688737866
"YBR083W",402.667573535832,-0.858504730068734,0.240575189074931,-3.56855057817844,0.000358961564037817,0.0361921722201751
"YCR047C",274.046787533906,0.836456239349411,0.234118080181698,3.57279642264382,0.000353189331886305,0.0361921722201751
"YIL145C",1042.30835698199,0.539989393020244,0.152315932234455,3.5451931068449,0.000392325548778638,0.0361921722201751
"Q0160",238.822622872378,1.29238558749547,0.364108637692561,3.54945050379912,0.000386036029703653,0.0361921722201751
"YKL145W",3399.09567377407,-0.395376016488813,0.111537324123317,-3.54478664067359,0.000392931008542411,0.0361921722201751
"YOR117W",2645.96267733574,-0.464840227508386,0.129917647618283,-3.57796062374956,0.000346285603275994,0.0361921722201751
"YOR180C",101.126178793034,0.654923244320545,0.183542269023507,3.5682420611062,0.000359384412981104,0.0361921722201751
"YOR221C",648.454407251131,-0.55152432838844,0.155198210763621,-3.55367710539173,0.000379885316114262,0.0361921722201751
"YOR259C",2010.97249464408,-0.523778136807537,0.147548166632112,-3.54987899045532,0.000385408266077953,0.0361921722201751
"YPL091W",2009.83454935875,-0.280967887396534,0.078768274943316,-3.56701841697977,0.000361066113158763,0.0361921722201751
"YPR188C",413.075385960342,0.395173407004252,0.111494347321697,3.54433580263985,0.000393603584494684,0.0361921722201751
"YPR190C",1235.58971384539,0.386000591742801,0.109340038862906,3.53027670153638,0.000415125267288868,0.0375554455519881
"Q0120",283.376153957038,1.2653191464355,0.361087012650697,3.50419456282002,0.000457990612527599,0.0401977645380344
"YHR070W",629.05201490589,0.424287984876021,0.121093588875189,3.50380221461049,0.000458665881696238,0.0401977645380344
"YCL027W",250.026743261168,-1.37082634483039,0.392984639750399,-3.48824408430074,0.000486204009938788,0.0413199741173737
"YML035C",1751.29580575724,0.316644727685452,0.0907305401575625,3.48994646274086,0.000483117321796715,0.0413199741173737
"YHR172W",348.242968973562,0.732870483641843,0.210906044189922,3.47486714502069,0.000511106414550665,0.042787998197234
"YKR010C",231.409641348701,0.547780287870975,0.158130429556778,3.46410421704629,0.000532000359216777,0.0432462320992304
"YPR156C",434.879310882364,0.620278237628939,0.17886168850184,3.4679211787859,0.000524501106701951,0.0432462320992304
