"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDL171C"	3079.06191246428	-3.19596792513405	0.0718148812169516	-44.5028644617413	0	0
"YER011W"	1548.29066090602	3.4233774054189	0.0752668569799219	45.4831986186446	0	0
"YGL039W"	3184.66159668402	2.2299091276063	0.0558193680683451	39.9486630675575	0	0
"YGL009C"	5188.86790894289	-4.14663102775306	0.0914151818434414	-45.360419835456	0	0
"YLR340W"	21223.1657273306	-1.76547006901382	0.0461699708802454	-38.2384921487834	0	0
"YOR382W"	2647.70513160818	3.88296681025166	0.0793794977607187	48.9164950621943	0	0
"YOR383C"	4151.00873268156	3.65683096957129	0.0778233018836552	46.9888951131655	0	0
"YPL019C"	2897.68849379709	-2.62899291295785	0.0587318228526833	-44.7626650300321	0	0
"YBL075C"	1023.68802019304	3.40831771109895	0.0913848090562774	37.2963268873277	1.88224425190628e-304	1.19836217371366e-301
"YOR237W"	639.350641912169	5.2559192124742	0.143242931014187	36.6923461790491	9.67328004497373e-295	5.54278946576995e-292
"YDR380W"	5346.00477897017	2.47017078898953	0.0698023545069821	35.388072600652	2.60520448482002e-274	1.35707469981988e-271
"YBR072W"	3286.72547859162	4.26497124466542	0.12628834184854	33.7716940632612	5.1362542719829e-250	2.45256141487183e-247
"YHL040C"	1434.41957387321	2.51123876043384	0.0748168259743642	33.5651603463412	5.41058810970227e-247	2.38482075912262e-244
"YOR063W"	36137.1408749409	-1.35135244919504	0.0411653756633822	-32.8274047647549	2.39372160025469e-236	9.79716054961382e-234
"YGL147C"	7425.23158869353	-2.31206078925525	0.0724404486032068	-31.9167099850469	1.56578498352191e-223	5.9812986370537e-221
"YLR333C"	3369.29453736983	-1.93206806133313	0.0615334600164999	-31.3986579141667	2.1105580917162e-216	7.55843616595865e-214
"YHL047C"	1658.75874814893	2.89454290304516	0.0924790628519297	31.2994402601125	4.74886172703192e-215	1.60064574681723e-212
"YNL096C"	3307.67971602542	-1.67028730672743	0.0544181159411334	-30.6935894019973	6.93093849539413e-207	2.20634875436713e-204
"YER055C"	2186.13838625734	-2.08570228196215	0.0684358563303391	-30.4767470417042	5.29877020602244e-204	1.5979975410794e-201
"YDL229W"	24229.9588877945	-1.47044472561812	0.0494044762251103	-29.7633906473995	1.16369519806585e-194	3.33398674245866e-192
"YDL020C"	1950.93476661247	2.18252224566874	0.0735129530184735	29.6889480840238	1.06652559072303e-193	2.91009125468713e-191
"YBL003C"	970.635669983084	-2.5107809705985	0.0851464360026395	-29.4877987672985	4.12761601358626e-191	1.07505635262951e-188
"YKR094C"	4451.78601692618	-1.88123097826863	0.0644780630273897	-29.1762948503819	3.87677094060074e-187	9.65821629984444e-185
"YMR242C"	7058.79724740556	-1.72535799058432	0.0607933842475325	-28.3806866806292	3.50130346092271e-177	8.35936201295298e-175
"YER145C"	5047.16338746002	2.34763820080074	0.083871408880403	27.9909236310597	2.09549371790156e-172	4.80287160143038e-170
"YMR116C"	14838.5506460727	-1.85202082419202	0.0661788348343878	-27.9850926482264	2.46747311229169e-172	5.43793112824284e-170
"YBR031W"	3585.59735548849	-1.54020813234687	0.0552007241992753	-27.9019551770136	2.52623750532562e-171	5.36123737241327e-169
"YDL130W"	4271.55069821471	-1.52477956847195	0.054713796757899	-27.8682829345382	6.4681490302088e-171	1.32366049796773e-168
"YBR025C"	6749.92423663864	-1.11238406214057	0.0402851030261973	-27.6127893086731	7.81348635629757e-168	1.5438371317788e-165
"YHR208W"	3687.12823384986	-1.86818069206269	0.0677428721310392	-27.5775241482078	2.0702894135826e-167	3.95425277994276e-165
"YKL060C"	116412.939745542	-1.38503695234257	0.0503529016241476	-27.5065965945914	1.46398589728493e-166	2.70601264240085e-164
"YNL178W"	18205.0923890555	-1.6832314554435	0.0612345113987363	-27.4882809872185	2.42409778794899e-166	4.34065010154617e-164
"YJR016C"	8776.52320490401	-2.99200471773967	0.110776669037761	-27.0093399966718	1.14803425829319e-160	1.9934049394e-158
"YLR441C"	14264.7113237798	-1.58701116788823	0.058907033832516	-26.9409451577618	7.28298078317822e-160	1.22739646728268e-157
"YMR012W"	6790.07212446783	-1.709373429196	0.0635140701483776	-26.9133032287597	1.5346410692284e-159	2.51242666476535e-157
"YDR262W"	1564.63253396315	1.76083622257315	0.0654568203127009	26.9007295826663	2.15347290183268e-159	3.42761103541702e-157
"YJL012C"	3246.07623535203	-1.58028235084617	0.0600796493659445	-26.30312206419	1.76632262729328e-152	2.73541314983528e-150
"YPL090C"	3815.51018710936	-1.40373587902993	0.053447528248014	-26.2638128468006	4.970764236489e-152	7.49538923028472e-150
"YDR418W"	7733.01560789835	-1.79244269825906	0.0696440177317137	-25.737209837089	4.48260938920775e-146	6.58598764106678e-144
"YLR167W"	25893.8520375991	-1.7350177371924	0.0678420389935421	-25.5743748703891	2.94180408242135e-144	4.21413434806858e-142
"YML008C"	5160.7583669973	1.097169763997	0.0430361971743429	25.4941150946093	2.29089911124336e-143	3.20167119693279e-141
"YML063W"	17321.4784181171	-1.51983808004823	0.0599754169929049	-25.3410173076084	1.12879663018614e-141	1.5400011168968e-139
"YOL039W"	6058.39654612525	-1.27426593692706	0.0503848046217365	-25.2906793326599	4.04500552303538e-141	5.39020503418436e-139
