Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)						
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01						
Analyzed List:	upload_1 (Saccharomyces cerevisiae)						
Reference List:	Saccharomyces cerevisiae (all genes in database)						
Test Type:	FISHER						
Correction:	FDR						
GO biological process complete	Saccharomyces cerevisiae - REFLIST (6049)	upload_1 (28)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
							
							
							
							
							
	Saccharomyces cerevisiae (REF)	upload_1 ( Hierarchy ÊNEW!Ê)					
GO biological process complete	#	#	expected	Fold Enrichment	+/-	raw P value	FDR
proteasome regulatory particle assembly	11	6	0.07	91.65	+	3.27E-10	5.82E-07
proteasome assembly	34	9	0.2	44.48	+	1.48E-12	7.89E-09
cellular protein-containing complex assembly	503	11	2.99	3.67	+	1.20E-04	1.45E-02
protein-containing complex assembly	518	11	3.08	3.57	+	1.55E-04	1.80E-02
cellular component assembly	761	13	4.53	2.87	+	2.86E-04	2.99E-02
protein-containing complex subunit organization	629	12	3.74	3.21	+	1.94E-04	2.11E-02
positive regulation of proteasomal protein catabolic process	11	5	0.07	76.38	+	2.26E-08	8.06E-06
positive regulation of proteolysis involved in cellular protein catabolic process	11	5	0.07	76.38	+	2.26E-08	8.63E-06
positive regulation of cellular protein catabolic process	11	5	0.07	76.38	+	2.26E-08	9.30E-06
positive regulation of cellular catabolic process	63	5	0.37	13.34	+	4.33E-05	5.93E-03
positive regulation of catabolic process	64	5	0.38	13.13	+	4.65E-05	6.20E-03
regulation of catabolic process	125	9	0.74	12.1	+	5.29E-08	1.41E-05
positive regulation of metabolic process	569	11	3.39	3.25	+	3.50E-04	3.40E-02
positive regulation of cellular metabolic process	561	11	3.34	3.29	+	3.10E-04	3.12E-02
regulation of cellular catabolic process	120	7	0.71	9.8	+	7.37E-06	1.16E-03
positive regulation of cellular protein metabolic process	157	7	0.93	7.49	+	3.92E-05	5.66E-03
positive regulation of protein metabolic process	158	7	0.94	7.44	+	4.08E-05	5.73E-03
positive regulation of nitrogen compound metabolic process	529	11	3.15	3.49	+	1.86E-04	2.12E-02
regulation of nitrogen compound metabolic process	1029	15	6.12	2.45	+	4.56E-04	4.20E-02
positive regulation of macromolecule metabolic process	530	11	3.15	3.49	+	1.89E-04	2.11E-02
regulation of protein metabolic process	370	11	2.2	5	+	7.26E-06	1.17E-03
regulation of cellular protein metabolic process	363	9	2.16	4.17	+	2.33E-04	2.48E-02
positive regulation of protein catabolic process	12	5	0.07	70.01	+	3.19E-08	1.00E-05
regulation of protein catabolic process	24	8	0.14	56.01	+	6.21E-12	1.66E-08
regulation of cellular protein catabolic process	19	6	0.11	53.06	+	4.52E-09	2.42E-06
regulation of proteolysis involved in cellular protein catabolic process	19	6	0.11	53.06	+	4.52E-09	2.20E-06
regulation of proteolysis	40	6	0.24	25.2	+	2.19E-07	4.87E-05
positive regulation of proteolysis	18	5	0.11	46.67	+	1.69E-07	3.93E-05
regulation of proteasomal protein catabolic process	17	6	0.1	59.3	+	2.60E-09	1.74E-06
