,log2 Fold Change,-log10 P-Value
YAL062W,1.0625779222790928,3.1191947321164806
YAL034W-A,1.0042405558945713,3.7946296651901603
YAL005C,1.621976173256825,3.331699669060154
YBL093C,1.4663013471049176,2.8356967367146715
YBL075C,1.7752192104636226,2.558050521528203
YBL071W-A,1.7312899184643276,2.1352549254683457
YBL064C,1.7520366375442444,3.1171326612791113
YBL054W,1.1426918601036609,2.048807091299212
YBL049W,3.1422892828428597,3.1325243544528996
YBL033C,1.264083125641168,3.084317295132116
YBR008C,1.0084044863655623,2.5475689146553697
YBR046C,1.5684111439402308,3.374702999737328
YBR047W,2.206952799398054,3.871116007669784
YBR063C,1.14972769404424,2.0114356680421173
YBR072W,2.665466864029318,3.4549198938544268
YBR091C,1.1970262087953598,2.405978566896497
YBR093C,1.6731243177261925,3.850620449614625
YBR105C,1.5287159317933217,2.2921930971054354
YBR176W,1.0430550747733622,3.236884095987707
YBR188C,1.0553302185087656,2.581948710503915
YBR295W,1.1335121270925035,3.4218828151800085
YCL049C,1.7807217284784578,4.369125295657164
YCL038C,1.2550243930263953,2.859988014251075
YCL035C,1.0905346384338925,3.107516037204346
YCL026C-B,2.298220391836204,3.1873624328839685
YCL026C-A,2.602045935934423,2.248327878094102
YCR020C,1.312422245867491,3.0173452997662693
YCR073C,1.0572541892252447,2.693131534325554
YCR083W,1.0609067876148346,2.5256735241674786
YCR086W,1.141444219507798,3.2686080078776616
YDL230W,1.079418398783372,4.238455296091293
YDL218W,1.1124773087648883,2.8595778303353683
YDL175C,1.0480521711071062,2.730429584726531
YDL170W,1.0089078609888054,2.7795886143380297
YDL101C,1.128285072430274,2.181411726332682
YDL059C,1.0407928837628275,2.34282151048477
YDL049C,1.152635203915785,3.0867284346601123
YDL021W,1.2359250855912536,2.2802263944377983
YDL020C,1.3548708005755972,3.2058447005166824
YDR014W-A,1.5445463771278831,2.1495473468056185
YDR018C,1.5423673716507509,2.781163327417185
YDR069C,1.128715998573928,3.23351999953446
YDR089W,1.0482643042151363,2.8054894963481867
YDR186C,1.2276001761612785,3.267572615833157
YDR218C,2.4863130207526156,2.2101199348226186
YDR223W,1.636455200206028,2.4661482920778335
YDR252W,1.0229944144716712,2.5652593256852727
YDR262W,1.4997300244227587,4.179629489175188
YDR263C,1.25011046519828,3.723290458343423
YDR264C,1.1533826194605483,3.784081088270719
YDR270W,1.5948107311298714,3.705255910275853
YDR273W,1.03891893347577,2.627411287759929
YDR379C-A,1.5086562567040789,2.3430187945335588
YDR380W,2.4322155258820066,3.479621572711777
YDR489W,1.3592447858025627,2.7533644845466054
YDR490C,1.059747717197728,2.9202147293255676
YDR533C,1.699487837481218,3.886053284798705
YDR534C,2.1677803075184943,4.732353154177928
YIL146C,1.09949688137518,2.151894394144129
YIL107C,1.070340027022658,2.3992457093469723
YIL055C,1.1441418886967132,2.3285550865476536
YIL046W,1.1736958502416877,3.9670488492613782
YIL024C,1.1712583052026986,2.1443023364633382
YIL010W,1.0483817066085974,3.247843563621823
YIR018W,1.486453573020155,2.8560712789379195
YIR033W,1.103735622650742,4.5330200641127485
YEL065W,2.8456649363408055,3.787542734107701
YEL060C,1.2717400076625722,3.1686118780579333
YEL047C,1.0851917606573234,3.1751232029523346
YEL012W,1.2573101446294768,2.741079788603173
YER011W,2.6456617265909323,4.171742462800487
YER034W,1.3163573656088814,2.57830990476033
YER035W,1.0675051037610375,2.4063853658724677
YER042W,1.126588180350853,3.1848351654399774
YER044C,1.4355177701212958,3.7504756745480985
YER048W-A,1.152259672776964,2.9468129684359106
YER053C-A,1.6952008386970385,2.5051833363554925
YER062C,2.0768347788231307,3.300158741341675
YER075C,1.1183567250198725,3.435745752103125
YER095W,1.3746503185904315,2.4857365670377316
YER103W,1.4586741283381173,2.2200600562880903
YER116C,1.0578635058009218,2.345646414262281
YER119C,1.0797504084797187,3.2625420659791495
YER145C,2.542157608764099,3.8253802909168746
YER169W,1.2629688838529252,2.3959331341473673
YFL014W,2.728798905215496,2.4418240222735834
YFR023W,1.2872253817110249,2.33748769186166
YFR030W,1.1509909343880458,3.226178659952132
