,log2 Fold Change,-log10 P-Value
YAL068C,10.988309696770637,0.6553013625704632
YAL067C,0.5127132700562492,1.0716816241059264
YAL064W-B,0.2409853894487126,0.2243410897586497
YAL064C-A,10.006680529855025,0.30537256395115603
YAL064W,1.1944013195751932,0.4921171143956682
YAL063C-A,1.0306987638034624,0.7918905127792789
YAL063C,0.00014426486169039605,0.00026978636296501026
YAL062W,1.8231076186855375,3.795972497579593
YAL061W,0.8658573946762862,1.2148674499647638
YAL060W,0.9638254006925293,1.5566794013358145
YAL058W,0.09832808218328348,0.3542968078206913
YAL056W,0.20460237006413148,1.0643252515524544
YAL055W,0.11148233667723226,0.1426529916079855
YAL054C,0.9064387396208656,1.1095794286334957
YAL053W,1.136418774186519,2.7749099203878034
YAL051W,0.6420600668469876,2.82994911307768
YAL049C,0.584682529746352,3.8083982129382066
YAL048C,0.14708922315993325,0.36398486048610923
YAL047C,0.20577461911682823,1.1460923478597944
YAL044W-A,0.18696674364584412,0.5452752464294046
YAL044C,0.07915979788105974,0.1766078700931616
YAL043C,0.46078571037707666,2.0541368255788837
YAL042W,0.04583463473577652,0.2865110540250971
YAL041W,0.4855808365151091,2.939842429491417
YAL040C,0.6051291580844519,0.9731465576864448
YAL039C,0.8378183454190765,2.1486602454943284
YAL037C-A,0.3576419951284237,0.1240010009551283
YAL037W,0.5036353665069457,0.7779874380595223
YAL036C,0.21419393616283033,0.6992032501848173
YAL034W-A,0.5773054117223697,1.7411727411770197
YAL034C,1.2085896676901435,1.9229280301809688
YAL032C,0.5881946092518465,2.469921895940872
YAL031C,0.2499594928043196,0.49295430941471374
YAL030W,0.46562617548914315,2.807144533976181
YAL029C,0.4551490155205846,2.3287604078791784
YAL028W,0.8286684478540141,1.3312732168631651
YAL027W,0.46536777623676,3.5588094570858044
YAL026C,0.2563018987899101,1.6340784309213943
HRA1,2.357393660569927,0.7772046923190232
YAL024C,0.862179932906793,1.802987190098963
YAL021C,0.055853056245728824,0.1356808410687613
YAL020C,0.3743316984919716,2.5842366501865084
YAL019W,0.3839034275950061,1.1791696780460956
YAL018C,12.445380705140893,1.648398877662855
YAL017W,0.6969479585408499,1.2704234298099892
YAL016W,0.3682579002445508,1.5614704121273133
YAL015C,0.5882145105137218,2.252182747146179
YAL014C,0.37210417680691316,1.5948670287582005
YAL013W,0.601498978293692,1.1983238162270808
YAL012W,0.37227558105725594,1.390777884121351
YAL011W,0.7095714862116759,2.206063596517822
YAL010C,0.7328978565531302,3.0696350924800084
YAL009W,0.2378397294209258,1.0825994291011607
YAL008W,0.9830278123530622,2.7108284196765995
tP(UGG)A,13.364436583969376,0.658320862724523
YAL005C,1.138912871074122,3.0655249178944803
YAL002W,0.7034995631645022,2.464950991995902
YAL001C,0.5405314097784838,2.3267740547007203
YAR003W,0.46513791106681973,1.1498340252945625
tA(UGC)A,14.640200285838851,1.3948843814206295
YAR014C,0.2871244931252747,0.6922860812586323
YAR018C,0.38287600262153915,2.2983581089156955
YAR019C,0.6655840431411947,2.1151421068250285
YAR020C,1.6879184450640883,1.5555525552518539
tL(CAA)A,1.6954440827266095,0.5729127303462106
YAR027W,0.6861296262474981,1.7316348077976138
YAR029W,0.09584408331563028,0.320056660297966
YAR035W,0.573340416212708,0.8194655260138912
YAR035C-A,12.058762250100042,0.30537256395115603
YAR042W,1.3794540188627467,3.438137415406102
YBL113C,0.7230722015397852,1.328712785231336
YBL108C-A,15.018807669071588,0.7063616385985823
tL(UAA)B1,12.00630735468701,0.30537256395115603
YBL106C,1.5977697396723307,3.683157609708433
YBL105C,0.2383027596746048,1.3773451000090433
YBL104C,0.38580993080772535,1.3340967097135996
YBL103C,0.37895159991325705,1.9823241352337062
YBL101C,0.8629644916487611,1.6797230254984399
YBL100W-C,1.5315021487053166,0.6250486281656702
tF(GAA)B,0.9064368632833903,0.12342515218656114
YBL099W,0.37086139921570854,1.8202137295760428
YBL098W,0.5601224897963436,3.21921438872313
YBL097W,0.5371718185633514,2.641315828170818
YBL095W,0.24616182655812216,0.8343369103888766
YBL093C,2.0876722861956614,2.3536025974433055
YBL091C-A,0.4751092215071395,1.1121183928891842
YBL089W,0.3134703631075867,2.1638467108489934
YBL088C,0.3787948422075891,2.860244030496212
YBL086C,0.2819800209970962,1.0056827872103467
YBL085W,0.34601115641180274,1.9596258867193392
YBL084C,0.8908419329027365,2.2902320343288824
YBL080C,0.4841150387981598,2.571726021916149
YBL079W,0.416821237371903,1.6336218238865574
YBL078C,1.4475397661852851,2.306161422578144
