,14517X2,14517X5,14517X4,14517X3,14517X12,14517X8,14517X10,14517X6,14517X1,14517X7,14517X11,14517X9
R0010W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0020C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0030W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0040C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL068C,0.0,0.0,0.0,0.0,0.00032361469945742184,0.0,0.00028552687191241627,0.0,0.0002501906237388954,0.0,0.0,0.0
YAL067W-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL067C,0.0007095713746277542,0.0008680767343505119,0.0006748857660837754,0.0006695597249511544,0.0011596459615305442,0.0009657021135114464,0.000920845301616845,0.00037672968458112575,0.00040344164252466497,0.0007476722318388553,0.0008711102307109737,0.0006292210061798533
YAL065C,0.00028574669151179284,0.0002524725041335253,0.0002717786845727945,0.0,0.0,0.0,0.0,0.00024652917989708036,0.00023467492614268482,0.00030109003015414844,0.0,0.0005067786756193134
YAL064W-B,0.001451233197048082,0.0033338298380466294,0.002208469310859243,0.0011868136507008212,0.0021582807121294195,0.002114495503137152,0.0013601870669843453,0.002003292233494385,0.0014302235656254965,0.0012233264217286662,0.0011580507397771869,0.0023164174897402474
YAL064C-A,0.0,0.0,0.0002760586638574054,0.0,0.00030832581601848854,0.0,0.0,0.0,0.0,0.0012233264217286662,0.0,0.0
YAL064W,0.0007760278569478164,0.0006856621691205214,0.00036904684536726826,0.0,0.0004121829329931373,0.00040382094571190716,0.0010910132053074434,0.00033476067586024594,0.000637327694155923,0.0008176971345238979,0.001161098241723969,0.0
YAL063C-A,0.0011400409238666374,0.000671524804808758,0.00108431289618218,0.0019423367736985091,0.003633158842362189,0.0,0.003917899654798207,0.0013114335755349841,0.0018725607508704954,0.003203349599165786,0.0018952634529858599,0.0030328352700722825
YAL063C,0.000362204989920844,9.84700016121686e-05,0.0001589997746480294,0.0002848173349187534,0.00029597413933747576,0.00017398181334526614,0.0003133673605569376,0.00016826594818372152,0.00025170349221199527,0.00046972775679377356,0.00036128907244371416,0.000222362071955413
YAL062W,0.0059758804540891485,0.00528001039894528,0.005167058724710933,0.0056151768672827755,0.01962143754712418,0.011936083084224768,0.020706620714268452,0.005988963510545612,0.005948855660516531,0.01163946344189244,0.02119384563496153,0.012739453246886592
YAL061W,0.009071341257485705,0.004580009020297232,0.006025843022012427,0.004268588550323364,0.012160201568088553,0.005769434019301955,0.01288830378274971,0.005279672768694309,0.009282951717124602,0.007586057400368194,0.011418221966953484,0.00734185708282472
YAL060W,0.09565172063154828,0.07131997585516349,0.077991045712511,0.05338188899714736,0.13605376233832503,0.0975947357339159,0.1569888870306779,0.061543270548196145,0.11002016849925453,0.10195661146094853,0.14298709828637765,0.09700236552843843
YAL059W,0.0842976161819749,0.09196724852414698,0.08578070424182221,0.10254264501669963,0.0682044504901554,0.10282539080770817,0.055646144836275134,0.09136634102013556,0.08883407736984812,0.10315048278953105,0.062234548516447975,0.12311294830603528
YAL058W,0.02485415573244969,0.023042935366487223,0.025711702782684462,0.027008049315856066,0.02857234832617145,0.03111087292040965,0.02489041826147831,0.024497926430179146,0.02578057238198151,0.027767212269800896,0.029817489021612145,0.029285659950851917
YAL056W,0.035602251845547446,0.0373501510802534,0.036422590274700906,0.03376532274289468,0.03952732479877139,0.037303546809186426,0.042821871864565215,0.035812215398486814,0.03570725673089789,0.036921164947652456,0.037556380809251125,0.036096103012666254
YAL055W,0.011023402034413009,0.011131161163254032,0.011815922335453597,0.009837689893368555,0.009479555270657043,0.012565093192127619,0.009839834288374092,0.0111710485029946,0.01178350333261386,0.011799680169079034,0.01448617031011629,0.013033513597335948
YAL054C,0.007025215619969778,0.005537317426124138,0.006633735113480192,0.004133235840192074,0.008429216333079493,0.006943210227459757,0.01245839348016749,0.00562498914442502,0.0064752260699662565,0.006816634247584963,0.010485969495642424,0.00546778985162026
YAL053W,0.1181040272972203,0.17475086827968475,0.1926202582473818,0.10664528323514454,0.23766866489503463,0.1847123673672914,0.26510462974012405,0.1620865399781349,0.12794654086450982,0.196951226092578,0.23834234209979654,0.18348017569415281
YAL051W,0.01635538929790658,0.022687259127526317,0.02205352519493111,0.017304057247508938,0.027169453221641368,0.02171489991092331,0.02517033204332236,0.021659606602144523,0.017025144550519455,0.023261816231069377,0.026451556413711597,0.02363507169689927
YAL049C,0.05384958520385718,0.0860245172508002,0.08219916773742801,0.05431026967535862,0.08248586934061576,0.08018698855149975,0.07953723443475023,0.07549580981248243,0.06071065847455403,0.07827228059983378,0.08128949755374004,0.08431172165465073
YAL048C,0.015038204659191375,0.01489761175832946,0.013869672650066564,0.01195657694732486,0.01360826482759623,0.013437585727844713,0.014664236557600732,0.012231640079508986,0.014845445568199266,0.014565230208706932,0.01656585220335113,0.014143510634471702
